Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 , CO ,target
Trời quang,15°C,36%,11.6 km/h,1016 mbar,109.8,251,23,,10.4,480,Không lành mạnh
Trời quang,20°C,31%,5.7 km/h,1013 mbar,91.6,215.4,2,30.4,17.6,,Không lành mạnh
Nhiều mây,-13°C,94%,6.3 km/h,1041 mbar,11.5,13,,45.5,18.6,,Tốt
Trời quang,15°C,34%,15.4 km/h,1014 mbar,40.2*,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,21°C,58%,5.2 km/h,1012 mbar,282,,,,,,Nguy hiểm
Trời quang,15°C,33%,11.2 km/h,1016 mbar,51.2*,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,17°C,35%,12.2 km/h,1015 mbar,24,47,18,24.8,16.8,600,Trung bình
Trời quang,15°C,34%,13.9 km/h,1014 mbar,74.5,147.7,,,,,Không lành mạnh
Nhiều mây,-15°C,99%,6.9 km/h,1040 mbar,0.9,1.3,,,,,Tốt
Trời quang,13°C,36%,12.4 km/h,1016 mbar,73.6,139,,,7.2,,Không lành mạnh
Trời quang,14°C,34%,13.8 km/h,1015 mbar,40.5,140.1,,,,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,-14°C,98%,7.2 km/h,1041 mbar,43.5,43.8,,5.1,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,18°C,26%,16.5 km/h,1016 mbar,51.7,129.6,,,10.4,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,-19°C,77%,3.6 km/h,1037 mbar,13.1*,,,,,,Trung bình
Trời quang,18°C,42%,6.5 km/h,1014 mbar,72.4,25.6,5,10.3,20.4,,Không lành mạnh
Nhiều mây,26°C,56%,7.7 km/h,1011 mbar,66.3,,,,,,Không lành mạnh
Nhiều mây,3°C,91%,3.1 km/h,1020 mbar,53,,0.1,38.4,6.7,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,14°C,34%,17.7 km/h,1015 mbar,27.6,63,13,7.2,,,Trung bình
Trời quang,16°C,33%,12.6 km/h,1016 mbar,34.6,,,,5.6,,Trung bình
Trời quang,17°C,32%,13.5 km/h,1014 mbar,44.2*,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,-3°C,86%,7.2 km/h,1025 mbar,175.1,316.3,,,,,Rất không lành mạnh
Trời quang,15°C,34%,8.8 km/h,1016 mbar,25.2,,5,,6.4,,Trung bình
Trời quang,19°C,31%,7.7 km/h,1013 mbar,143.8,,,,14.8,,Không lành mạnh
Sương mù,1°C,93%,0 km/h,1025 mbar,30,,,,,,Trung bình
Sương mù,22°C,68%,0 km/h,1012 mbar,173.1,307.8,7.3,30.7,12.4,2339,Rất không lành mạnh
Sương mù,-1°C,100%,21.6 km/h,1028 mbar,223.5,251.8,,,,,Rất không lành mạnh
Trời quang,13°C,37%,10.4 km/h,1016 mbar,39.9,91,18,,4.8,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,16°C,34%,14.9 km/h,1014 mbar,27.6,64,,,,,Trung bình
Trời quang,17°C,34%,8.5 km/h,1013 mbar,197.9,489.9,3,52.5,4.8,5130,Nguy hiểm
Sương mù,22°C,73%,11.1 km/h,1012 mbar,129.4,233.6,21.4,54.6,10.3,1290,Không lành mạnh
Trời quang,15°C,36%,13.9 km/h,1015 mbar,41.1,104,,,2.4,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,16°C,32%,12.5 km/h,1016 mbar,47.6,,,,18.4,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,19°C,39%,5 km/h,1016 mbar,70.7,,,,,,Không lành mạnh
Sương mù,15°C,59%,0 km/h,1018 mbar,59.4,111.5,11,75.9,16.8,1740,Không lành mạnh
Sương mù,28°C,61%,9.3 km/h,1010 mbar,54.2*,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,18°C,27%,16.4 km/h,1016 mbar,42.1,119.7,31,23.2,11.9,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,-14°C,85%,5.6 km/h,1036 mbar,111,137,15,55,7.5,750,Không lành mạnh
Trời quang,-1°C,20%,2.4 km/h,1036 mbar,24,89,15,47,3,400,Trung bình
Sương mù,25°C,47%,9.3 km/h,1014 mbar,81.9,175,5.2,79.3,,0,Không lành mạnh
Trời quang,15°C,38%,12.6 km/h,1016 mbar,76.5,140.1,54.1,54.7,15.2,300,Không lành mạnh
Trời quang,14°C,37%,15.1 km/h,1015 mbar,28.2,55,,,9.6,,Trung bình
Trời quang,16°C,32%,11.8 km/h,1016 mbar,51.1,78,,,20,,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,18°C,100%,0 km/h,1013 mbar,173.1,242.5,29,2.4,13.6,1670,Rất không lành mạnh
Trời quang,-4°C,16%,9.9 km/h,1035 mbar,35.5,82.5,22,42,28,400,Không lành mạnh cho các nhóm nhạy cảm
Ít mây,17°C,98%,0.5 km/h,1014 mbar,54,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,16°C,39%,10.5 km/h,1015 mbar,68,,,,,,Không lành mạnh
Nhiều mây,28°C,67%,15 km/h,1009 mbar,23,,,,,,Trung bình
Mây rải rác,-4°C,18%,7.2 km/h,1036 mbar,37,106.5,4,49.5,6,750,Không lành mạnh cho các nhóm nhạy cảm
Ít mây,14°C,60%,8.2 km/h,1017 mbar,82,,,,,,Không lành mạnh
Trời quang,-5°C,57%,1.2 km/h,1033 mbar,108,387,13,74,13,,Rất không lành mạnh
Sương mù,9°C,87%,5.5 km/h,1017 mbar,95.5,,,,,,Không lành mạnh
Trời quang,-4°C,16%,5.2 km/h,1035 mbar,32.5,96,7.5,54,6,650,Trung bình
Trời quang,4°C,28%,5.8 km/h,1034 mbar,32,108,33.5,33.5,10,600,Trung bình
Trời quang,20°C,64%,1.8 km/h,1018 mbar,21.1*,,,,,,Trung bình
Nhiều mây,-15°C,88%,4 km/h,1036 mbar,169,199.5,7.5,73,7,1350,Rất không lành mạnh
Nhiều mây,-23°C,98%,4.5 km/h,1030 mbar,106.5,,,,,,Không lành mạnh
Trời quang,0°C,33%,10.6 km/h,1035 mbar,56,199,28.5,35,7.5,550,Không lành mạnh
Trời quang,13°C,37%,14.2 km/h,1016 mbar,31,95,17,,,,Trung bình
Trời quang,19°C,42%,18.5 km/h,1015 mbar,59,,,,,,Không lành mạnh
Nhiều mây,-5°C,38%,0.8 km/h,1032 mbar,86,221,23,62.5,9.5,2700,Không lành mạnh
Trời quang,-6°C,22%,4.2 km/h,1035 mbar,12,58,26.5,29,13,650,Trung bình
Trời quang,-4°C,17%,6.9 km/h,1035 mbar,30,93.5,23.5,50.5,10.5,550,Trung bình
Ít mây,-2°C,27%,7 km/h,1036 mbar,42,96,24,37,15,800,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,14°C,32%,9.8 km/h,1015 mbar,44.6,,,,5.6,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,-14°C,65%,9.9 km/h,1032 mbar,238.8,,,,,,Rất không lành mạnh
Trời quang,-5°C,23%,7.6 km/h,1035 mbar,17,54.5,35,26.5,12.5,400,Trung bình
Sương mù,18°C,63%,14.8 km/h,1018 mbar,49.4,,,12.8,14.4,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,-1°C,20%,10.4 km/h,1035 mbar,56,148,10.5,56,8,800,Không lành mạnh
Ít mây,-1°C,20%,8.4 km/h,1035 mbar,24,83,29,33,12,700,Trung bình
Trời quang,28°C,29%,12 km/h,1011 mbar,2.1*,,,,,,Tốt
Trời quang,-6°C,19%,9.1 km/h,1035 mbar,16.5,61,10,39.5,9,500,Trung bình
Trời quang,15°C,36%,12.5 km/h,1016 mbar,35,,,,,,Trung bình
Nhiều mây,23°C,70%,2.9 km/h,1013 mbar,40.5,70,,,7.2,,Không lành mạnh cho các nhóm nhạy cảm
Ít mây,-2°C,22%,9.3 km/h,1035 mbar,40.5,102.5,7,53,6.5,600,Không lành mạnh cho các nhóm nhạy cảm
Ít mây,0°C,23%,4.5 km/h,1035 mbar,34,127,31,33,8,700,Trung bình
Ít mây,2°C,29%,9.8 km/h,1034 mbar,39,95,40,27,9,400,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,1°C,24%,8.3 km/h,1035 mbar,21.5,82,49,18.5,7,350,Trung bình
Sương mù,17°C,100%,0 km/h,1013 mbar,136.6,273,17,,34.4,2420,Không lành mạnh
Trời quang,18°C,99%,3.5 km/h,1014 mbar,29,,,,,,Trung bình
Trời quang,5°C,41%,15.3 km/h,1031 mbar,32,99,60,30,8,400,Trung bình
Trời quang,17°C,35%,5.6 km/h,1013 mbar,230.5,310.2,9,20,15.2,1715,Rất không lành mạnh
Nhiều mây,1°C,78%,4.2 km/h,1013 mbar,68.9,69.9,15.2,38,12.1,,Không lành mạnh
Trời quang,-4°C,12%,3.2 km/h,1034 mbar,6,47,38.5,28,8,300,Tốt
Sương mù,29°C,61%,9.3 km/h,1010 mbar,72.6,180.8,19.2,62.7,20.8,1535,Không lành mạnh
Trời quang,-10°C,19%,7.2 km/h,1035 mbar,14.5,41,56,17,4.5,350,Trung bình
Trời quang,22°C,48%,4.2 km/h,1012 mbar,173.4*,,,,,,Rất không lành mạnh
Nhiều mây,2°C,82%,0.6 km/h,1012 mbar,10.1*,,,,,,Tốt
Trời quang,-7°C,18%,18.2 km/h,1034 mbar,12.5,44,46,30,9,500,Trung bình
Sương mù,20°C,32%,18.5 km/h,1018 mbar,80,,,,,,Không lành mạnh
Ít mây,-2°C,18%,7.9 km/h,1035 mbar,32,83.5,35,31.5,6.5,300,Trung bình
Trời quang,1°C,26%,5.7 km/h,1034 mbar,57,161.5,10.5,60.5,7,750,Không lành mạnh
Trời quang,-4°C,12%,4.6 km/h,1035 mbar,17,55,15,53.5,8,400,Trung bình
Trời quang,5°C,38%,16 km/h,1032 mbar,36,,22,,3,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,3°C,32%,12.5 km/h,1033 mbar,51,144,46,30,12,600,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,20°C,34%,8.4 km/h,1013 mbar,128.3*,,,,,,Không lành mạnh
Sương mù,19°C,63%,14.8 km/h,1018 mbar,16.8,57,,,12.8,,Trung bình
Trời quang,-7°C,17%,11.2 km/h,1033 mbar,8,39,45,24,8.5,300,Tốt
Sương mù,-17°C,85%,7.2 km/h,1029 mbar,169,207,3,80,4,1700,Rất không lành mạnh
Trời quang,-9°C,26%,2.5 km/h,1033 mbar,11,115.5,32,16,6,300,Trung bình
Ít mây,0°C,34%,2.6 km/h,1034 mbar,45,126,32.5,40,11.5,570.5,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,0°C,25%,10.2 km/h,1035 mbar,54.5,164.5,33,32.5,4,450,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,-13°C,92%,3.6 km/h,1029 mbar,3.4,3.6,,0.6,41.7,16.4,Tốt
Trời quang,0°C,30%,3.2 km/h,1035 mbar,29.5,83.5,18,48,5.5,500,Trung bình
Trời quang,-10°C,23%,1.9 km/h,1037 mbar,27,74,6,52,7,550,Trung bình
Trời quang,15°C,34%,12.4 km/h,1016 mbar,31.2,72,,,3,,Trung bình
Trời quang,-6°C,14%,10 km/h,1034 mbar,13,57,12,54,7,400,Trung bình
Trời quang,0°C,38%,11.8 km/h,1035 mbar,37,134.5,44.5,24.5,6,350,Không lành mạnh cho các nhóm nhạy cảm
Ít mây,-2°C,28%,6 km/h,1034 mbar,28,79,11,47.5,8,900,Trung bình
Trời quang,0°C,52%,10.9 km/h,1035 mbar,46,161,34,27,6,600,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,-4°C,27%,8.4 km/h,1035 mbar,3.5,42.5,60.5,16.5,6,600,Tốt
Trời quang,19°C,46%,13 km/h,1015 mbar,55.3,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,7°C,91%,5.4 km/h,1029 mbar,53,100,30,25.5,5.5,350,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,22°C,100%,3.7 km/h,1014 mbar,70.4,,,,,,Không lành mạnh
Nhiều mây,8°C,41%,4.2 km/h,1018 mbar,23.1*,,,,,,Trung bình
Trời quang,-5°C,13%,5.5 km/h,1035 mbar,14,58,20,44.5,10.5,500,Trung bình
Trời quang,-7°C,19%,4.4 km/h,1035 mbar,19,77,28,33,12,500,Trung bình
Trời quang,-5°C,18%,4.4 km/h,1035 mbar,10,46,45,21,5,300,Tốt
Trời quang,26°C,24%,16.5 km/h,1015 mbar,17.1*,,,,,,Trung bình
Trời quang,-5°C,13%,6.6 km/h,1035 mbar,15,52.5,25,36,10,400,Trung bình
Trời quang,-3°C,49%,3.6 km/h,1032 mbar,107,296.5,32.5,29,5,1050,Không lành mạnh
Trời quang,15°C,32%,13.2 km/h,1017 mbar,68.6,119.1,7,37.6,17.6,,Không lành mạnh
Trời quang,13°C,33%,10.9 km/h,1015 mbar,47,87.5,40.1,18.8,6.4,710,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,-3°C,74%,7.2 km/h,1026 mbar,65.1,80.8,,,,,Không lành mạnh
Trời quang,0°C,24%,2.7 km/h,1035 mbar,36.5,135,32,33,8,550,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,8°C,91%,3.2 km/h,1030 mbar,44,82,44,21,6,500,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,4°C,60%,4.5 km/h,1027 mbar,21,91,50,20,6,0.4,Trung bình
Trời quang,-5°C,19%,8.8 km/h,1035 mbar,18.5,59.5,37,29,12,400,Trung bình
Trời quang,-6°C,23%,4.9 km/h,1035 mbar,21,76,15,42.5,13,500,Trung bình
Trời quang,-7°C,21%,7.1 km/h,1033 mbar,44,124,2,54,10,800,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,6°C,42%,6.7 km/h,1029 mbar,62.5,125.5,28,72,7,600,Không lành mạnh
Trời quang,-7°C,21%,9.2 km/h,1033 mbar,10,84,47,12,5,400,Trung bình
Trời quang,21°C,53%,4.3 km/h,1013 mbar,82.7,164.2,13,,20,,Không lành mạnh
Ít mây,0°C,35%,7.5 km/h,1034 mbar,53,158,30,37,7,500,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,20°C,43%,16.4 km/h,1015 mbar,38.7,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,16°C,35%,9 km/h,1016 mbar,32.8,69,,35.2,12,,Trung bình
Nhiều mây,0°C,93%,3.7 km/h,1012 mbar,138.7,,,,,,Không lành mạnh
Trời quang,-3°C,24%,6.6 km/h,1035 mbar,39,88,21,50,15,1100,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,0°C,69%,7.4 km/h,1026 mbar,87.9,116.4,4,,19.1,2249.4,Không lành mạnh
Ít mây,-2°C,38%,2.7 km/h,1035 mbar,30,93,3,55,9,800,Trung bình
Trời quang,-6°C,16%,7.4 km/h,1034 mbar,14,62,20,40.5,8,400,Trung bình
Trời quang,-7°C,20%,8.3 km/h,1034 mbar,9,57,24,34,10,300,Trung bình
Trời quang,-7°C,25%,9.2 km/h,1035 mbar,17,78.5,10,47.5,12,900,Trung bình
Trời quang,18°C,39%,9 km/h,1015 mbar,66.9,,5,,9.6,,Không lành mạnh
Trời quang,18°C,41%,6.4 km/h,1015 mbar,89.1,,,,11.2,,Không lành mạnh
Trời quang,-5°C,24%,5.2 km/h,1035 mbar,32,84,13,55,18,500,Trung bình
Trời quang,-6°C,21%,1.4 km/h,1035 mbar,23,105,14,49,13,600,Trung bình
Trời quang,17°C,69%,6.8 km/h,1013 mbar,132.6,,,,,,Không lành mạnh
Trời quang,6°C,48%,8.3 km/h,1029 mbar,71,148,25.5,58,6,783.5,Không lành mạnh
Nhiều mây,0°C,67%,3.2 km/h,1013 mbar,125.7,,,,,,Không lành mạnh
Ít mây,-2°C,22%,6.2 km/h,1035 mbar,21,84,24.5,35,5.5,350,Trung bình
Trời quang,0°C,39%,12.5 km/h,1034 mbar,57,149,29,22,10,400,Không lành mạnh
Nhiều mây,23°C,70%,11.4 km/h,1012 mbar,34.5,57.5,0,44,,,Trung bình
Mưa,21°C,67%,13.9 km/h,1012 mbar,11.2,29.2,,,4.8,,Tốt
Trời quang,-8°C,22%,5.3 km/h,1034 mbar,20,64.5,11.5,50,11,400,Trung bình
Trời quang,-7°C,70%,11.2 km/h,1034 mbar,81.5,272,46.5,27,10,600,Không lành mạnh
Mây rải rác,0°C,30%,5.1 km/h,1035 mbar,24,93.5,30,39.5,6.5,350,Trung bình
Trời quang,-4°C,15%,4.7 km/h,1035 mbar,13.5,81,13,53.5,16,600,Trung bình
Trời quang,-6°C,17%,8.6 km/h,1035 mbar,11.5,53,22.5,42,8,400,Tốt
Nhiều mây,-14°C,96%,4.1 km/h,1037 mbar,170,197,6,56,3,1300,Rất không lành mạnh
Trời quang,-12°C,25%,21.3 km/h,1030 mbar,10,28,62,6,16,500,Tốt
Trời quang,1°C,48%,11.1 km/h,1022 mbar,12.1*,,,,,,Trung bình
Trời quang,-6°C,21%,6.7 km/h,1035 mbar,12,73,27,25,12,500,Trung bình
Nhiều mây,16°C,95%,20.3 km/h,1007 mbar,4.1*,,,,,,Tốt
Nhiều mây,0°C,65%,4.1 km/h,1014 mbar,94,,,,,,Không lành mạnh
Trời quang,-3°C,17%,5.7 km/h,1035 mbar,27,80,24,50,10,300,Trung bình
Trời quang,1°C,23%,1.2 km/h,1034 mbar,58,147,13,63,12,770,Không lành mạnh
Trời quang,-5°C,18%,8.3 km/h,1035 mbar,31,88,35,41,23,800,Trung bình
Ít mây,14°C,60%,9.6 km/h,1017 mbar,57,,,,,,Không lành mạnh
Mây rải rác,0°C,32%,5.9 km/h,1035 mbar,60,116,18,,11,,Không lành mạnh
Ít mây,16°C,60%,6.2 km/h,1022 mbar,125.4,182,,5.5,2.5,,Không lành mạnh
Nhiều mây,24°C,65%,12 km/h,1013 mbar,22.1*,,,,,,Trung bình
Trời quang,6°C,34%,17.4 km/h,1032 mbar,68,95.5,13,20,3,6000,Không lành mạnh
Ít mây,-6°C,90%,4.8 km/h,1013 mbar,,,3,,,,Tốt
Nhiều mây,-7°C,92%,6.5 km/h,1010 mbar,23,27,17,,,,Trung bình
Ít mây,-5°C,82%,11.1 km/h,1011 mbar,21,24.2,,,,,Trung bình
Trời quang,-3°C,84%,7.4 km/h,1009 mbar,28,35,,,,,Trung bình
Mây rải rác,10°C,54%,24.1 km/h,1015 mbar,8,18,,28.2,,,Tốt
Mây rải rác,9°C,62%,23.1 km/h,1007 mbar,5,,,13.2,,,Tốt
Mưa,7°C,85%,26.9 km/h,1014 mbar,5,4,,,0,,Tốt
Nhiều mây,9°C,64%,4.8 km/h,1013 mbar,28,,,7.5,2.6,,Trung bình
Nhiều mây,10°C,56%,4.8 km/h,1013 mbar,22.5,,,10.3,,,Trung bình
Nhiều mây,9°C,63%,4.8 km/h,1013 mbar,22,,,7.5,2.6,,Trung bình
Nhiều mây,7°C,66%,3.2 km/h,1007 mbar,26,,,7.5,13.1,,Trung bình
Nhiều mây,8°C,65%,20.8 km/h,1016 mbar,29,,,14.1,,343.5,Trung bình
Mây rải rác,11°C,66%,23.9 km/h,1014 mbar,21,,,,,,Trung bình
Nhiều mây,9°C,60%,22.9 km/h,1016 mbar,20,26,,5.6,5.2,,Trung bình
Mây rải rác,5°C,81%,21.3 km/h,1014 mbar,32,,,,,,Trung bình
Trời quang,5°C,81%,0 km/h,1006 mbar,10,9,,30.1,,,Tốt
Nhiều mây,4°C,67%,25.5 km/h,1015 mbar,9,20,,5.6,,,Tốt
Trời quang,-1°C,79%,14.8 km/h,1006 mbar,16.5,28.8,14.6,35.8,,,Trung bình
Nhiều mây,-4°C,91%,16.8 km/h,1009 mbar,9.6,10.3,,7.8,3.6,,Tốt
Nhiều mây,14°C,94%,24.1 km/h,1001 mbar,15,15,26,37,2,,Trung bình
Trời quang,-2°C,82%,6.4 km/h,1021 mbar,1.5,,,,,,Tốt
Trời quang,9°C,60%,8.9 km/h,1018 mbar,7.3,,,,,,Tốt
Trời quang,13°C,64%,14.8 km/h,1019 mbar,0.6,,,,,,Tốt
Trời quang,7°C,87%,5.5 km/h,1020 mbar,15.4,,,,,,Trung bình
Nhiều mây,4°C,84%,5.8 km/h,1030 mbar,20.9,,,,,,Trung bình
Trời quang,7°C,60%,11.1 km/h,1024 mbar,6.1*,,,,,,Tốt
Mây rải rác,2°C,81%,20.4 km/h,1023 mbar,,,,,1.1,,Tốt
Ít mây,1°C,63%,3.2 km/h,1025 mbar,5.1*,,,,,,Tốt
Nhiều mây,2°C,62%,3.2 km/h,1027 mbar,5.1*,,,,,,Tốt
Trời quang,10°C,61%,14.8 km/h,1025 mbar,9.1*,,,,,,Tốt
Nhiều mây,16°C,71%,16.7 km/h,1005 mbar,4.5,,,,,,Tốt
Trời quang,-3°C,80%,4.6 km/h,1009 mbar,17,,,,,,Trung bình
Mây rải rác,-12°C,75%,7.2 km/h,1019 mbar,52.1,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Mây rải rác,-9°C,74%,8.6 km/h,1033 mbar,3.1,,,,,,Tốt
Nhiều mây,-4°C,63%,7.4 km/h,1029 mbar,2,,,,,,Tốt
Trời quang,-1°C,63%,3.2 km/h,1027 mbar,4.9,,44,21.6,,,Tốt
Nhiều mây,-14°C,95%,11.6 km/h,1025 mbar,2,,,3.8,0,0,Tốt
Trời quang,-1°C,26%,6.9 km/h,1013 mbar,7,11,67,14,2,700,Tốt
Nhiều mây,0°C,90%,13.2 km/h,1005 mbar,30.7,,,,,,Trung bình
Nhiều mây,12°C,82%,5.5 km/h,1005 mbar,6,8.2,33.4,10.3,3.4,,Tốt
Trời quang,-2°C,74%,18.5 km/h,992 mbar,12.1*,,,,,,Trung bình
Nhiều mây,-2°C,72%,13.5 km/h,1009 mbar,18,26.1,21.8,31.8,,,Trung bình
Nhiều mây,-2°C,81%,11.1 km/h,1005 mbar,16,20,,,,0,Trung bình
Nhiều mây,-5°C,79%,10.4 km/h,1011 mbar,7.1*,,,,,,Tốt
Nhiều mây,-2°C,71%,9.6 km/h,1008 mbar,18.3,,,,,,Trung bình
Mây rải rác,-2°C,93%,4.8 km/h,1016 mbar,17,20.1,,,1.4,,Trung bình
Ít mây,-6°C,91%,6.6 km/h,1012 mbar,23.1*,,,25*,,1.3*,Trung bình
Mây rải rác,-2°C,93%,8.2 km/h,1010 mbar,28.6,30.4,,21.6,,,Trung bình
Ít mây,2°C,74%,14.8 km/h,1004 mbar,28.7,31.6,,18.1,,,Trung bình
Nhiều mây,0°C,71%,9.3 km/h,1001 mbar,7.1*,,,,,,Tốt
Trời quang,8°C,72%,9.5 km/h,1020 mbar,19,35,,7.5,2.6,,Trung bình
Nhiều mây,8°C,62%,22.2 km/h,1016 mbar,19,35,,9.4,2.6,,Trung bình
Nhiều mây,9°C,61%,23.3 km/h,1016 mbar,17,21,,5.6,2.6,,Trung bình
Trời quang,3°C,64%,7.7 km/h,1007 mbar,5,5,,5.6,,,Tốt
Nhiều mây,8°C,75%,15.7 km/h,1015 mbar,11,,,,,,Tốt
Ít mây,8°C,81%,3.6 km/h,1006 mbar,13,15,,54.5,2.6,,Trung bình
Nhiều mây,9°C,67%,24.3 km/h,1015 mbar,15,17,,,2.6,,Trung bình
Nhiều mây,6°C,73%,45.2 km/h,1017 mbar,31,62,,3.8,,,Trung bình
Mây rải rác,11°C,60%,32.9 km/h,1016 mbar,31,50.5,,3.8,0,,Trung bình
Nhiều mây,1°C,74%,4 km/h,1013 mbar,7,,,,,,Tốt
Trời quang,1°C,43%,3.8 km/h,1016 mbar,7.1*,,,97.4*,,,Tốt
Nhiều mây,16°C,90%,26.5 km/h,1007 mbar,4.1*,,,,,,Tốt
Trời quang,24°C,72%,16.7 km/h,1018 mbar,4,15,,25,2,,Tốt
Nhiều mây,-9°C,80%,11.6 km/h,1005 mbar,30.7,,,,,,Trung bình
Nhiều mây,9°C,86%,2.2 km/h,1010 mbar,11.1,26.9,1.1,,25.7,0,Tốt
Nhiều mây,0°C,100%,5.5 km/h,1008 mbar,57,,,,,,Không lành mạnh
Ít mây,9°C,69%,8.1 km/h,1012 mbar,14,23.8,,,,,Trung bình
Trời quang,5°C,63%,3.2 km/h,1018 mbar,2.1,,,,,,Tốt
Trời quang,12°C,66%,7.4 km/h,1019 mbar,10.5,,,,,,Tốt
Trời quang,9°C,59%,8.6 km/h,1017 mbar,6.8,,,,,,Tốt
