Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 , CO ,target
Trời quang,26°C,16%,20.4 km/h,1013 mbar,44.8,143.1,68.4,22.8,7.6,360,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,26°C,23%,14.7 km/h,1012 mbar,35.2*,,,,,,Trung bình
Trời quang,25°C,17%,18.4 km/h,1010 mbar,203.1,,,86,,,Rất không lành mạnh
Sương mù,27°C,54%,7.4 km/h,1010 mbar,130,,,,,,Không lành mạnh
Mây rải rác,30°C,9%,17.2 km/h,1012 mbar,30,,,,,,Trung bình
Trời quang,25°C,20%,20.5 km/h,1014 mbar,75.1,198.8,15,,,520,Không lành mạnh
Sương mù,30°C,28%,9.3 km/h,1010 mbar,89.2,213,32,31.5,26.5,1320,Không lành mạnh
Nhiều mây,-9°C,82%,15.4 km/h,1038 mbar,70.1,,,31.8,18.7,,Không lành mạnh
Trời quang,25°C,19%,19.6 km/h,1012 mbar,42.2*,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,26°C,36%,10.2 km/h,1010 mbar,152,,,,,,Rất không lành mạnh
Trời quang,26°C,19%,19.7 km/h,1014 mbar,89.7,,,,2.4,,Không lành mạnh
Trời quang,25°C,21%,16.2 km/h,1013 mbar,11.4,30,20,15.6,7.6,270,Tốt
Trời quang,26°C,17%,20.1 km/h,1013 mbar,39.3,114.6,,,,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,-7°C,83%,11.6 km/h,1034 mbar,0.8,1,,,,,Tốt
Trời quang,23°C,36%,21.2 km/h,987 mbar,43.4,82,,,21.6,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,24°C,17%,22.9 km/h,1013 mbar,21,137.1,,,,,Trung bình
Nhiều mây,-7°C,82%,12.3 km/h,1033 mbar,35.9,36.2,,3.4,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,28°C,21%,16.9 km/h,1013 mbar,55.3,89,,,6.4,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,-7°C,62%,7.2 km/h,1034 mbar,,,,,0.2,,Tốt
Mây rải rác,27°C,26%,13.4 km/h,1012 mbar,41.1,26.9,6,10.4,21,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,31°C,46%,12.9 km/h,1009 mbar,68.9,,,,,,Không lành mạnh
Sương mù,3°C,87%,0 km/h,1016 mbar,42.4,,0,17.2,5.3,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,25°C,18%,25.6 km/h,1013 mbar,27.6,62,6,5.6,,,Trung bình
Trời quang,26°C,17%,20.4 km/h,1014 mbar,53.5,,,,4.8,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,26°C,16%,18.8 km/h,1012 mbar,40.2*,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,1°C,64%,7.2 km/h,1026 mbar,218.8,263.1,,,,,Rất không lành mạnh
Trời quang,25°C,19%,19 km/h,1014 mbar,33.4,,8,,3.2,,Trung bình
Trời quang,29°C,19%,16 km/h,1010 mbar,122.2,,,,34.8,,Không lành mạnh
Sương mù,9°C,57%,3.6 km/h,1024 mbar,30,,,,,,Trung bình
Sương mù,28°C,37%,9.3 km/h,1009 mbar,115.1,182.3,134.2,20.8,19.7,536,Không lành mạnh
Sương mù,0°C,80%,25.2 km/h,1028 mbar,191.2,224,,,,,Rất không lành mạnh
Trời quang,25°C,19%,20.6 km/h,1015 mbar,43.4,81,50,,6.4,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,26°C,18%,20.9 km/h,1013 mbar,32.2,71,1,4,,,Trung bình
Sương mù,25°C,53%,5.5 km/h,1010 mbar,173.1,303,82.7,43.3,4.8,2900,Rất không lành mạnh
Sương mù,29°C,37%,9.3 km/h,1009 mbar,74.7,166.1,140.9,28.1,21,260,Không lành mạnh
Trời quang,25°C,19%,23.7 km/h,1014 mbar,41.7,74,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,26°C,17%,18.3 km/h,1015 mbar,48.8,,,,29.6,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,26°C,26%,12.7 km/h,1013 mbar,38.1,153.7,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,25°C,29%,14.8 km/h,1017 mbar,19.8,63,62.2,41.6,16,760,Trung bình
Sương mù,32°C,46%,11.1 km/h,1008 mbar,42.2*,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,29°C,24%,15 km/h,1013 mbar,38.8,100.6,91.5,16,9.8,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,-12°C,92%,2.1 km/h,1039 mbar,129,133.5,48.5,30.5,9,750,Không lành mạnh
Trời quang,0°C,20%,10.6 km/h,1034 mbar,20,78,74,11,2,300,Trung bình
Sương mù,31°C,51%,16.7 km/h,1011 mbar,81.9,175,32,79.3,,15628.9,Không lành mạnh
Trời quang,23°C,33%,25.9 km/h,1018 mbar,73.9,101,57.1,52.2,29.6,600,Không lành mạnh
Trời quang,25°C,19%,22.9 km/h,1014 mbar,31.6,67,,,10.4,,Trung bình
Trời quang,26°C,18%,20.4 km/h,1014 mbar,52.3,82,,,15.2,,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,25°C,61%,3.7 km/h,1009 mbar,45.2,67,,,,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,3°C,14%,20.9 km/h,1031 mbar,21,89.5,66,17,6,200,Trung bình
Nhiều mây,24°C,86%,3.9 km/h,1011 mbar,33,,,,,,Trung bình
Trời quang,25°C,24%,16.5 km/h,1013 mbar,28.2*,,,,,,Trung bình
Nhiều mây,31°C,53%,5.2 km/h,1012 mbar,23,,,,,,Trung bình
Nhiều mây,3°C,16%,19.4 km/h,1031 mbar,39,123.5,47.5,31.5,7.5,500,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,19°C,47%,18.4 km/h,1016 mbar,72,,,,,,Không lành mạnh
Trời quang,0°C,37%,4 km/h,1035 mbar,99.5,270.5,67,19.5,4.5,1150,Không lành mạnh
Ít mây,19°C,52%,13 km/h,1015 mbar,45.5,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,1°C,16%,12.4 km/h,1032 mbar,21.5,101,64.5,15.5,6,450,Trung bình
Trời quang,9°C,21%,18.8 km/h,1030 mbar,44,124,52.5,33.5,10.5,700,Không lành mạnh cho các nhóm nhạy cảm
Ít mây,22°C,49%,7.4 km/h,1017 mbar,23.1*,,,,,,Trung bình
Nhiều mây,-14°C,93%,3.3 km/h,1039 mbar,176,202,28.5,56,7,1300,Rất không lành mạnh
Nhiều mây,-15°C,96%,4 km/h,1024 mbar,99,,,160,30,520,Không lành mạnh
Nhiều mây,4°C,22%,13.1 km/h,1031 mbar,36,144,64.5,25.5,9,550,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,23°C,19%,21.6 km/h,1014 mbar,25.8,95,30,,,,Trung bình
Nhiều mây,21°C,43%,25.9 km/h,1014 mbar,90.5,,,,,,Không lành mạnh
Mây rải rác,-2°C,31%,2.4 km/h,1036 mbar,75,159.5,77,44,7.5,1000,Không lành mạnh
Trời quang,-4°C,21%,15.2 km/h,1032 mbar,7,71,67,11,3,400,Trung bình
Nhiều mây,2°C,19%,12 km/h,1031 mbar,25,133,61,23,8,400,Trung bình
Nhiều mây,0°C,24%,8.5 km/h,1034 mbar,23,91,70,16,11,400,Trung bình
Trời quang,24°C,19%,22.3 km/h,1013 mbar,78.6,,,,7.2,,Không lành mạnh
Trời quang,-9°C,83%,1 km/h,1032 mbar,120.3,,,,,,Không lành mạnh
Nhiều mây,0°C,14%,16 km/h,1031 mbar,12,73,66,11,9.5,300,Trung bình
Sương mù,23°C,69%,14.8 km/h,1016 mbar,62.5,,,8.8,15.2,,Không lành mạnh
Nhiều mây,4°C,19%,8.4 km/h,1031 mbar,40.5,173,57.5,25,6.5,400,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,2°C,18%,13.1 km/h,1031 mbar,23.5,146.5,62,12,7,600,Trung bình
Trời quang,11°C,84%,8.6 km/h,1015 mbar,3.1*,,,,,,Tốt
Trời quang,0°C,10%,22 km/h,1032 mbar,7,75,68,18,6,400,Trung bình
Trời quang,24°C,19%,17.7 km/h,1016 mbar,21,,,,,,Trung bình
Nhiều mây,30°C,48%,6.8 km/h,1009 mbar,36.3,68,,,6.4,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,4°C,22%,1.4 km/h,1031 mbar,36,151.5,55,22,6.5,500,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,4°C,19%,22.4 km/h,1032 mbar,26,85,71,13,4,300,Trung bình
Nhiều mây,7°C,21%,19.3 km/h,1030 mbar,68.5,154.5,64,32.5,8.5,500,Không lành mạnh
Nhiều mây,6°C,19%,17.4 km/h,1031 mbar,25,113,68,9.5,8,350,Trung bình
Sương mù,24°C,61%,3.7 km/h,1009 mbar,48.8,87,,,,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,25°C,72%,3.6 km/h,1010 mbar,14.5,,,,,,Trung bình
Trời quang,10°C,24%,26.1 km/h,1028 mbar,70,91,25,19,3,6000,Không lành mạnh
Sương mù,28°C,26%,18.5 km/h,1011 mbar,62.6,202.6,72.4,18.8,21.2,600,Không lành mạnh
Nhiều mây,2°C,67%,3.1 km/h,1014 mbar,27.5,18.4,21.7,31.5,14.5,,Trung bình
Trời quang,-1°C,8%,21 km/h,1031 mbar,5,46.5,66,10,4.5,200,Tốt
Sương mù,33°C,46%,11.1 km/h,1008 mbar,96,151.8,0,41.6,,1156.5,Không lành mạnh
Trời quang,-4°C,15%,20.6 km/h,1035 mbar,13.5,53.5,70,12,4,350,Trung bình
Trời quang,27°C,33%,8.6 km/h,1010 mbar,108.3*,,,,,,Không lành mạnh
Nhiều mây,3°C,68%,4 km/h,1013 mbar,23.1*,,,,,,Trung bình
Trời quang,-6°C,16%,24.1 km/h,1033 mbar,10,60,68,15.5,6,450,Trung bình
Sương mù,27°C,21%,35.2 km/h,1015 mbar,71,,,,,,Không lành mạnh
Nhiều mây,2°C,21%,7.7 km/h,1031 mbar,30.5,151,,,,,Trung bình
Trời quang,6°C,15%,1 km/h,1032 mbar,41,126.5,54.5,39,5.5,453,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,2°C,14%,15 km/h,1032 mbar,11,52,60.5,20,5,300,Tốt
Trời quang,9°C,24%,23.4 km/h,1028 mbar,45,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,9°C,24%,12.8 km/h,1029 mbar,31,108,85,17,10.5,400,Trung bình
Trời quang,29°C,20%,12.7 km/h,1010 mbar,105.3*,,,,,,Không lành mạnh
Sương mù,24°C,69%,14.8 km/h,1016 mbar,21,117.6,,,15.2,,Trung bình
Trời quang,-3°C,13%,21.7 km/h,1032 mbar,12,53,64,13,6,300,Tốt
Sương mù,-16°C,78%,7.2 km/h,1032 mbar,141,182,20,62.5,5,1650,Không lành mạnh
Trời quang,-6°C,18%,27.1 km/h,1030 mbar,5,38.5,56,4,4,250,Tốt
Mây rải rác,5°C,21%,9.8 km/h,1032 mbar,44,167.5,64,24,10,477,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,5°C,19%,17.9 km/h,1031 mbar,24.5,105.5,66,17,4,400,Trung bình
Sương mù,-6°C,63%,7.2 km/h,1030 mbar,2.2,2.4,,0.6,41.6,16.6,Tốt
Nhiều mây,4°C,19%,21.8 km/h,1032 mbar,27,99,66.5,21,8,400,Trung bình
Trời quang,-7°C,18%,12.2 km/h,1035 mbar,6,30,62,12,3,400,Tốt
Trời quang,26°C,17%,20.2 km/h,1015 mbar,22.1,56.8,,16.1,4.1,750,Trung bình
Trời quang,-2°C,11%,8.1 km/h,1032 mbar,4,37,59,14,5,300,Tốt
Mây rải rác,4°C,22%,10.5 km/h,1031 mbar,23,121,62.5,25.5,5.5,100,Trung bình
Nhiều mây,1°C,17%,17.9 km/h,1031 mbar,19,122,60.5,28,8,700,Trung bình
Mây rải rác,5°C,27%,12.9 km/h,1031 mbar,32,133,71,20,6,500,Trung bình
Nhiều mây,0°C,27%,15.3 km/h,1031 mbar,14,90,61,24.5,9.5,600,Trung bình
Nhiều mây,26°C,44%,15 km/h,1012 mbar,51.1,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,8°C,75%,4.6 km/h,1026 mbar,54,118.5,24.5,37.5,5.5,400,Không lành mạnh cho các nhóm nhạy cảm
Sương mù,29°C,66%,14.8 km/h,1010 mbar,52.9,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Mây rải rác,7°C,37%,1.9 km/h,1017 mbar,20.1*,,,,,,Trung bình
Trời quang,0°C,11%,11.2 km/h,1032 mbar,8,51.5,64.5,17.5,7.5,300,Tốt
Trời quang,-3°C,17%,11.2 km/h,1032 mbar,6,53,64,15.5,7,400,Tốt
Trời quang,-2°C,25%,7 km/h,1031 mbar,11,61,67.5,4,6,450,Trung bình
Trời quang,31°C,21%,4.8 km/h,1015 mbar,14.1*,,,,,,Trung bình
Trời quang,0°C,10%,10.6 km/h,1032 mbar,7.5,54,66,11.5,7,200,Tốt
Nhiều mây,1°C,35%,3.5 km/h,1034 mbar,116,308.5,76.5,14,6,800,Không lành mạnh
Trời quang,26°C,19%,11.4 km/h,1014 mbar,26.4,58,43.4,11.9,19.2,,Trung bình
Trời quang,24°C,20%,23.6 km/h,1013 mbar,19.7,,,,,,Trung bình
Nhiều mây,2°C,41%,0 km/h,1028 mbar,143.7,155.6,,,,,Không lành mạnh
Nhiều mây,4°C,19%,21.7 km/h,1032 mbar,19,92,71,13.5,5,400,Trung bình
Nhiều mây,8°C,84%,2.3 km/h,1026 mbar,48,86,25.5,49,8,600,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,4°C,60%,4.5 km/h,1027 mbar,21,91,50,20,6,0.4,Trung bình
Trời quang,0°C,11%,15.9 km/h,1032 mbar,12.5,55,56,15,7,300,Trung bình
Trời quang,-3°C,18%,8.3 km/h,1032 mbar,9,64,,26,8,400,Trung bình
Trời quang,-5°C,18%,21 km/h,1031 mbar,12,63,48,12,5,400,Trung bình
Trời quang,11°C,30%,8.6 km/h,1025 mbar,51.5,116.5,72.5,48,7,600,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,-5°C,18%,27.3 km/h,1031 mbar,15,66,54,8,6,400,Trung bình
Trời quang,31°C,27%,7.4 km/h,1010 mbar,61.9,76,,,80,,Không lành mạnh
Nhiều mây,5°C,24%,14.8 km/h,1031 mbar,36,137.5,71,19,7,400,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,26°C,38%,16.7 km/h,1012 mbar,30,,,,,,Trung bình
Trời quang,25°C,21%,18 km/h,1014 mbar,31,54,39,33.6,,,Trung bình
Nhiều mây,-2°C,93%,7.4 km/h,1014 mbar,57.8,,,,,,Không lành mạnh
Nhiều mây,1°C,15%,20.7 km/h,1031 mbar,15.5,95,65.5,17,10,500,Trung bình
Sương mù,2°C,60%,7.4 km/h,1028 mbar,66.3,77.2,46,,,,Không lành mạnh
Nhiều mây,0°C,32%,7.6 km/h,1033 mbar,32,115,72,16,9,400,Trung bình
Trời quang,-2°C,14%,12.6 km/h,1032 mbar,7,49,63,14,6,200,Tốt
Trời quang,-3°C,12%,26 km/h,1031 mbar,5,58,58,16,8,300,Trung bình
Trời quang,-4°C,25%,10.7 km/h,1032 mbar,13,74,53,27.5,10,550,Trung bình
Trời quang,26°C,35%,14.2 km/h,1012 mbar,48.2,,23,,,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,24°C,46%,16.7 km/h,1015 mbar,45.8,,56.1,,16,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,0°C,13%,18.1 km/h,1031 mbar,12,111,55,,,600,Trung bình
Trời quang,-3°C,19%,8.6 km/h,1032 mbar,10,66,48,21.5,11.5,500,Trung bình
Nhiều mây,25°C,43%,7.1 km/h,1010 mbar,59.8,,,,,,Không lành mạnh
Trời quang,10°C,35%,7.7 km/h,1025 mbar,65,134.5,61,49,7,725,Không lành mạnh
Nhiều mây,-2°C,56%,6.3 km/h,1013 mbar,120.7,,,,,,Không lành mạnh
Nhiều mây,2°C,21%,8.9 km/h,1031 mbar,41,212,59,20,7,400,Không lành mạnh cho các nhóm nhạy cảm
Ít mây,5°C,30%,13.6 km/h,1031 mbar,50,193,59.5,21,11,400,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,28°C,48%,18.9 km/h,1009 mbar,33.6,59,355,17,,1827.9,Không lành mạnh
Mưa,25°C,46%,19.6 km/h,1013 mbar,6.4,19.6,,,4.9,,Tốt
Trời quang,-4°C,19%,7.6 km/h,1031 mbar,14,69,46,25,8,300,Trung bình
Trời quang,-2°C,52%,12.7 km/h,1036 mbar,64.5,213,67,22.5,11.5,600,Không lành mạnh
Mây rải rác,3°C,21%,12.7 km/h,1032 mbar,45.5,209,55,30.5,7.5,450,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,0°C,18%,10.8 km/h,1031 mbar,7,66,55.5,20.5,8,400,Trung bình
Trời quang,0°C,9%,26.1 km/h,1032 mbar,9,63,53,24,6,500,Trung bình
Nhiều mây,-13°C,92%,4.7 km/h,1039 mbar,84,103,56.5,19,15,1400,Không lành mạnh
Trời quang,-11°C,20%,28.2 km/h,1027 mbar,15,98.5,62.5,7,7,550,Trung bình
Sương mù,11°C,30%,0 km/h,1021 mbar,19.1*,,,,,,Trung bình
Trời quang,-2°C,17%,9.8 km/h,1032 mbar,11,44,65,4,11,300,Tốt
Nhiều mây,13°C,90%,8.8 km/h,1008 mbar,,,13.3,,,,Tốt
Mây rải rác,-1°C,47%,5.8 km/h,1015 mbar,74,,,,,,Không lành mạnh
Nhiều mây,2°C,19%,11.7 km/h,1031 mbar,22,145,54,25.5,9,300,Trung bình
Trời quang,5°C,19%,6 km/h,1032 mbar,42,144,46.5,45,10,527.5,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,1°C,18%,12.2 km/h,1031 mbar,19,91,52,20,8,400,Trung bình
Trời quang,19°C,47%,16.3 km/h,1017 mbar,48,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,4°C,22%,7.2 km/h,1032 mbar,39,126.5,63,33,11,563,Không lành mạnh cho các nhóm nhạy cảm
Trời quang,20°C,48%,3 km/h,1017 mbar,55.3,61.7,,3.9,3.1,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,29°C,44%,20.7 km/h,1009 mbar,21.1*,,,,,,Trung bình
Trời quang,10°C,23%,22.1 km/h,1028 mbar,62,97,15.5,47.5,3,7000,Không lành mạnh
Mây rải rác,-4°C,66%,4.6 km/h,1013 mbar,5.1*,,,,,,Tốt
Nhiều mây,-6°C,99%,8.2 km/h,1012 mbar,21,25,2,,,,Trung bình
Nhiều mây,-1°C,84%,8.7 km/h,1013 mbar,21.2,24.2,,16.2,,,Trung bình
Trời quang,-3°C,84%,9.3 km/h,1011 mbar,28,33,,,,,Trung bình
Nhiều mây,12°C,63%,19.6 km/h,1015 mbar,6,13,,30.1,,,Tốt
Ít mây,7°C,85%,5.9 km/h,1009 mbar,,,,75.2,,,Tốt
Mưa,8°C,79%,20.8 km/h,1015 mbar,4,2,,,0,,Tốt
Nhiều mây,9°C,78%,1.6 km/h,1013 mbar,6,,,18.8,0,,Tốt
Nhiều mây,9°C,78%,1.6 km/h,1013 mbar,8,,,30.1,,,Tốt
Nhiều mây,9°C,78%,1.6 km/h,1013 mbar,12,,,35.7,2.6,,Tốt
Nhiều mây,8°C,79%,3.2 km/h,1008 mbar,9,,,11.3,,,Tốt
Mây rải rác,9°C,78%,11 km/h,1016 mbar,15,,,32,,458,Trung bình
Mây rải rác,12°C,67%,15.3 km/h,1015 mbar,11,,,,,,Tốt
Nhiều mây,10°C,58%,14.6 km/h,1016 mbar,14,15,,15,5.2,,Trung bình
Mây rải rác,7°C,74%,15.7 km/h,1016 mbar,15,,,,,,Trung bình
Ít mây,7°C,87%,0 km/h,1005 mbar,13,15,,54.5,,,Trung bình
Nhiều mây,6°C,65%,20.9 km/h,1016 mbar,4,12,,11.3,,,Tốt
Trời quang,-2°C,83%,18.5 km/h,1010 mbar,24.1,26.2,15.8,26.3,,,Trung bình
Tuyết,-2°C,94%,22.8 km/h,1006 mbar,4.8,6.3,,5.1,4.7,,Tốt
Mưa,13°C,97%,11.1 km/h,1006 mbar,8,14.5,8,67,1.5,,Tốt
Mây rải rác,-7°C,89%,6.6 km/h,1018 mbar,1.6,,,,,,Tốt
Ít mây,3°C,85%,10 km/h,1014 mbar,3.3,,,,,,Tốt
Trời quang,6°C,75%,1.6 km/h,1015 mbar,2.2,,,,,,Tốt
Trời quang,4°C,93%,9.3 km/h,1017 mbar,8.5,,,,,,Tốt
Nhiều mây,2°C,93%,1.6 km/h,1025 mbar,14.9,,,,,,Trung bình
Trời quang,1°C,79%,9.3 km/h,1025 mbar,7.1*,,,,,,Tốt
Nhiều mây,0°C,88%,18.5 km/h,1024 mbar,15.1*,,,,0.8*,,Trung bình
Ít mây,-6°C,95%,4.8 km/h,1027 mbar,10.1*,,,,,,Tốt
Trời quang,-1°C,79%,4.8 km/h,1029 mbar,5.1*,,,,,,Tốt
Trời quang,2°C,78%,11.1 km/h,1025 mbar,7.1*,,,,,,Tốt
Nhiều mây,18°C,93%,35.2 km/h,1003 mbar,18.7,,,,,,Trung bình
Trời quang,-1°C,70%,3.2 km/h,1010 mbar,16,,,,,,Trung bình
Nhiều mây,-17°C,76%,12.1 km/h,1021 mbar,38.4,,,,,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,-12°C,97%,5.5 km/h,1035 mbar,0.1,,,,,,Tốt
Nhiều mây,-7°C,77%,14.8 km/h,1031 mbar,3,,,,,,Tốt
Trời quang,-9°C,62%,6.8 km/h,1031 mbar,6.8,,4,57,0.5,,Tốt
Nhiều mây,-11°C,92%,25.7 km/h,1018 mbar,2,,,3.8,0,0,Tốt
Nhiều mây,10°C,6%,6.2 km/h,1004 mbar,5,16,88,5,4,500,Tốt
Mây rải rác,-5°C,90%,4.8 km/h,1011 mbar,19.8,,,,,,Trung bình
Nhiều mây,13°C,82%,2.1 km/h,1005 mbar,1,1.2,,,,,Tốt
Trời quang,-3°C,80%,18.5 km/h,995 mbar,13.1*,,,,,,Trung bình
Nhiều mây,-2°C,89%,14.6 km/h,1012 mbar,9.1*,,,,,,Tốt
Nhiều mây,-4°C,89%,14.8 km/h,1007 mbar,14,15,,,,,Trung bình
Nhiều mây,-6°C,72%,13.4 km/h,1013 mbar,8.1*,,3*,,,,Tốt
Nhiều mây,-3°C,53%,9.2 km/h,1012 mbar,32.7,,,,,,Trung bình
Nhiều mây,-3°C,93%,1.6 km/h,1018 mbar,19.7,23.1,,,2.9,,Trung bình
Ít mây,-5°C,61%,4.6 km/h,1018 mbar,14.1*,,,16*,,72.9*,Trung bình
Mây rải rác,-3°C,91%,6 km/h,1012 mbar,,,2.5,31.1,,,Tốt
Trời quang,2°C,72%,16.7 km/h,1006 mbar,9.8,12.5,,36.6,,,Tốt
Mưa,2°C,86%,7.4 km/h,1000 mbar,6.1*,,,,,,Tốt
Trời quang,9°C,70%,16.2 km/h,1020 mbar,17,18,,9.4,5.2,,Trung bình
Mây rải rác,9°C,75%,16.8 km/h,1016 mbar,10,11,,18.8,2.6,,Tốt
Nhiều mây,9°C,61%,13.4 km/h,1016 mbar,12,13,,18.8,5.2,,Tốt
Trời quang,7°C,76%,6.2 km/h,1009 mbar,8,9,,22.6,,,Tốt
Nhiều mây,9°C,70%,16.6 km/h,1016 mbar,10,,,,,,Tốt
Trời quang,8°C,84%,6.2 km/h,1008 mbar,10,12,,65.8,0,,Tốt
Nhiều mây,9°C,68%,14.5 km/h,1016 mbar,7,10,,13.2,,,Tốt
Nhiều mây,9°C,58%,33.4 km/h,1016 mbar,16,27,,7.5,,,Trung bình
Ít mây,13°C,58%,37.2 km/h,1017 mbar,10.5,10,,9.4,0,,Tốt
Nhiều mây,0°C,63%,4.9 km/h,1014 mbar,3,,,,,,Tốt
Nhiều mây,4°C,32%,19.9 km/h,1014 mbar,,,,23.3,,,Tốt
Mưa,15°C,97%,27.3 km/h,1009 mbar,2.1*,,,,,,Tốt
Trời quang,22°C,91%,13 km/h,1019 mbar,1,11,,15,3,,Tốt
Nhiều mây,-7°C,85%,6.4 km/h,1009 mbar,13.2,,,,,,Trung bình
Nhiều mây,9°C,88%,4.9 km/h,1011 mbar,10.7,25.4,,,11.8,,Tốt
Nhiều mây,-3°C,99%,7.4 km/h,1009 mbar,31.6,,2,,8,,Trung bình
Nhiều mây,6°C,85%,12.9 km/h,1013 mbar,16,23.8,,,,,Trung bình
Ít mây,0°C,79%,11.3 km/h,1013 mbar,1.2,,,,,,Tốt
Ít mây,8°C,84%,7.4 km/h,1015 mbar,8.7,,,,,,Tốt
