Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 ,target, CO 
Nhiều mây,-6°C,74%,30.2 km/h,1031 mbar,42.2,42.7,,6.6,,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,22°C,27%,14.5 km/h,1013 mbar,66.3,179.3,,,9.6,Không lành mạnh,
Trời quang,-7°C,79%,21.6 km/h,1033 mbar,,,,,2.2,Tốt,
Mây rải rác,19°C,34%,3.8 km/h,1013 mbar,141.9,,,,9.6,Không lành mạnh,
Mây rải rác,27°C,46%,12.1 km/h,1009 mbar,61.3,,,,,Không lành mạnh,
Nhiều mây,4°C,61%,4.1 km/h,1019 mbar,51.5,,,16.4,6.1,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,17°C,33%,14 km/h,1013 mbar,18,42,12,7.2,,Trung bình,
Trời quang,19°C,26%,10.8 km/h,1014 mbar,36.3,,,,4.8,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,21°C,25%,12.1 km/h,1012 mbar,42.2*,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Sương mù,-1°C,86%,3.6 km/h,1021 mbar,301.4,541.8,,,,Nguy hiểm,
Trời quang,18°C,28%,7.5 km/h,1014 mbar,14.4,,4,,4,Trung bình,
Ít mây,21°C,29%,10.2 km/h,1012 mbar,158.6,,,,13,Rất không lành mạnh,
Sương mù,1°C,93%,7.2 km/h,1027 mbar,30,,,,,Trung bình,
Sương mù,22°C,64%,0 km/h,1011 mbar,123,189.8,5,41.8,7.2,Không lành mạnh,1490
Sương mù,-1°C,74%,18 km/h,1025 mbar,190.8,234.2,,,,Rất không lành mạnh,
Trời quang,17°C,28%,10 km/h,1014 mbar,38.7,78,16,,4.8,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,19°C,28%,13.8 km/h,1013 mbar,27,70,6,7.2,,Trung bình,
Sương mù,19°C,77%,0 km/h,1011 mbar,207,,14,12.8,6.4,Rất không lành mạnh,
Sương mù,23°C,64%,0 km/h,1011 mbar,55.9,152.7,86.5,24.2,14.9,Không lành mạnh,870
Trời quang,18°C,31%,12.1 km/h,1014 mbar,29.2*,,,,,Trung bình,
Trời quang,19°C,25%,11.1 km/h,1014 mbar,45.8,,,,14.4,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,21°C,37%,6.8 km/h,1013 mbar,39.2*,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Sương mù,21°C,33%,5.5 km/h,1015 mbar,20.1,61.5,23,,15.2,Trung bình,1030
Sương mù,28°C,74%,11.1 km/h,1008 mbar,60.2*,,,,,Không lành mạnh,
Trời quang,22°C,31%,14.1 km/h,1013 mbar,61.3,107,93.9,21.6,11.2,Không lành mạnh,
Nhiều mây,-14°C,91%,5.5 km/h,1045 mbar,69.5,81,36.5,41,8.5,Không lành mạnh,650
Trời quang,1°C,24%,8.7 km/h,1027 mbar,47,218,24,47,8,Không lành mạnh cho các nhóm nhạy cảm,1000
Sương mù,27°C,61%,5.5 km/h,1010 mbar,67.2,137.5,31,46.5,9.6,Không lành mạnh,2
Sương mù,14°C,67%,5.5 km/h,1015 mbar,78.9,83,60.2,66.1,22.4,Không lành mạnh,460
Trời quang,17°C,33%,12.7 km/h,1014 mbar,28.2,70,,,8,Trung bình,
Trời quang,19°C,27%,9.6 km/h,1014 mbar,39.9,80,,,9.6,Không lành mạnh cho các nhóm nhạy cảm,
Sương mù,20°C,100%,0 km/h,1012 mbar,147.1,276,,,,Không lành mạnh,1300
Trời quang,2°C,20%,9.9 km/h,1024 mbar,40.5,143,53.5,29,7.5,Không lành mạnh cho các nhóm nhạy cảm,400
Nhiều mây,20°C,94%,0.1 km/h,1013 mbar,33,,,,,Trung bình,
Trời quang,19°C,36%,6.8 km/h,1013 mbar,19.2,,,,4,Trung bình,
Nhiều mây,31°C,48%,13.2 km/h,1007 mbar,30,,,,,Trung bình,
Trời quang,2°C,18%,5.9 km/h,1024 mbar,35.5,128,20,58.5,11,Không lành mạnh cho các nhóm nhạy cảm,650
Trời quang,15°C,63%,7.6 km/h,1015 mbar,83,,,,,Không lành mạnh,
Trời quang,-3°C,54%,4.9 km/h,1034 mbar,97.5,292.5,41.5,41.5,5,Không lành mạnh,1250
Ít mây,14°C,77%,7.4 km/h,1016 mbar,65,,4,,,Không lành mạnh,
Trời quang,2°C,19%,7.4 km/h,1024 mbar,14,76,54,28,6,Trung bình,500
Trời quang,6°C,25%,6.7 km/h,1027 mbar,53,164,29,58.5,10.5,Không lành mạnh cho các nhóm nhạy cảm,800
Ít mây,21°C,60%,20.4 km/h,1017 mbar,20.1*,,,,,Trung bình,
Nhiều mây,-15°C,90%,5.9 km/h,1045 mbar,104,107,19,75.5,11.5,Không lành mạnh,1250
Mây rải rác,-30°C,95%,5.8 km/h,1041 mbar,64,,,,,Không lành mạnh,
Trời quang,2°C,26%,10.5 km/h,1026 mbar,56,247,37,44,7,Không lành mạnh,600
Trời quang,16°C,32%,13 km/h,1014 mbar,26.4,49,24,,,Trung bình,
Mây rải rác,17°C,59%,1.8 km/h,1016 mbar,109,,,,,Không lành mạnh,
Trời quang,-4°C,40%,1.6 km/h,1037 mbar,72.5,174,34,60.5,13.5,Không lành mạnh,2350
Trời quang,-1°C,32%,6.4 km/h,1024 mbar,74,359,14,56,15,Rất không lành mạnh,700
Trời quang,2°C,23%,9.8 km/h,1024 mbar,33,229,64,24,6,Không lành mạnh cho các nhóm nhạy cảm,500
Nhiều mây,1°C,24%,6.1 km/h,1028 mbar,57.5,237,38,39,12,Không lành mạnh,700
Trời quang,16°C,37%,10.4 km/h,1014 mbar,62.8,,,,5.6,Không lành mạnh,
Trời quang,-13°C,68%,9.8 km/h,1032 mbar,61,,,,,Không lành mạnh,
Trời quang,1°C,25%,7.9 km/h,1024 mbar,54,142.5,37,58,20,Không lành mạnh cho các nhóm nhạy cảm,800
Mây rải rác,23°C,58%,7 km/h,1012 mbar,75.4,,,14.4,16.8,Không lành mạnh,
Trời quang,3°C,25%,15.7 km/h,1025 mbar,40,235,51.5,29.5,6.5,Không lành mạnh cho các nhóm nhạy cảm,400
Trời quang,3°C,24%,7.8 km/h,1025 mbar,55,168,6,77,12,Không lành mạnh cho các nhóm nhạy cảm,1200
Trời quang,16°C,52%,11.6 km/h,1021 mbar,1.2,,,,,Tốt,
Trời quang,1°C,23%,3.3 km/h,1024 mbar,63,277,31,47.5,20,Không lành mạnh,700
Trời quang,18°C,25%,9.7 km/h,1014 mbar,29,,,,,Trung bình,
Mây rải rác,24°C,68%,6.3 km/h,1011 mbar,39.3,54,,,6.4,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,2°C,26%,9.6 km/h,1024 mbar,41,155,57,26,8,Không lành mạnh cho các nhóm nhạy cảm,700
Trời quang,2°C,25%,10.5 km/h,1026 mbar,39,154,46,31,12,Không lành mạnh cho các nhóm nhạy cảm,700
Trời quang,5°C,34%,2.5 km/h,1027 mbar,71,184,33,61,7.5,Không lành mạnh,600
Trời quang,3°C,26%,6 km/h,1026 mbar,46,172,25,58,9.5,Không lành mạnh cho các nhóm nhạy cảm,700
Sương mù,19°C,100%,0 km/h,1012 mbar,108.9,239.5,17,,56.9,Không lành mạnh,
Mây rải rác,20°C,92%,3.7 km/h,1013 mbar,21.5,,,,,Trung bình,
Trời quang,6°C,32%,6 km/h,1027 mbar,89,82.5,2.5,43.5,3,Không lành mạnh,11000
Trời quang,20°C,31%,7 km/h,1012 mbar,139.2,319.4,10,13.6,23.2,Không lành mạnh,720
Tuyết,0°C,94%,11.1 km/h,1010 mbar,23.6,24.2,12.5,25.7,5.2,Trung bình,
Trời quang,1°C,18%,5.4 km/h,1023 mbar,98,453.5,28,43,8,Nguy hiểm,500
Sương mù,29°C,74%,11.1 km/h,1008 mbar,73,168,39,58,16.8,Không lành mạnh,1440
Trời quang,-1°C,21%,28.1 km/h,1023 mbar,39,174,66,22,4.5,Không lành mạnh cho các nhóm nhạy cảm,550
Trời quang,23°C,48%,1.8 km/h,1012 mbar,105.3*,,,,,Không lành mạnh,
Nhiều mây,2°C,87%,6 km/h,1009 mbar,27.2*,,,,,Trung bình,
Trời quang,-1°C,24%,27.6 km/h,1024 mbar,32.5,151.5,70,18.5,7,Trung bình,550
Sương mù,22°C,35%,3.7 km/h,1014 mbar,87,,,,,Không lành mạnh,
Trời quang,2°C,24%,11.8 km/h,1025 mbar,50,167.5,36.5,46.5,9.5,Không lành mạnh cho các nhóm nhạy cảm,550
Trời quang,5°C,20%,5.4 km/h,1028 mbar,118,362,8,73,8,Rất không lành mạnh,861.5
Trời quang,4°C,16%,16.8 km/h,1023 mbar,22.5,92,42,38,11.5,Trung bình,500
Trời quang,6°C,32%,5.7 km/h,1027 mbar,63,,,,4,Không lành mạnh,
Trời quang,6°C,32%,6.2 km/h,1028 mbar,84,161,46.5,56,11.5,Không lành mạnh,800
Trời quang,22°C,30%,4.3 km/h,1012 mbar,70.2*,,,,,Không lành mạnh,
Nhiều mây,23°C,60%,6.6 km/h,1012 mbar,24,114.6,,,26.4,Trung bình,
Trời quang,0°C,24%,12.4 km/h,1023 mbar,108,482,25,54,9,Nguy hiểm,600
Nhiều mây,-17°C,78%,3.6 km/h,1037 mbar,94,111,4,82.5,6,Không lành mạnh,1300
Trời quang,-2°C,30%,9.1 km/h,1021 mbar,177,873,27,,,Nguy hiểm,550
Trời quang,3°C,20%,8.4 km/h,1028 mbar,61,213,25,52,8.5,Không lành mạnh,609
Trời quang,4°C,22%,15.7 km/h,1026 mbar,45.5,179,48.5,33,4,Không lành mạnh cho các nhóm nhạy cảm,500
Sương mù,-11°C,79%,3.6 km/h,1031 mbar,2.4,2.6,,0.6,41.4,Tốt,10.8
Mây rải rác,3°C,25%,13.7 km/h,1026 mbar,42,198.5,57,28.5,5.5,Không lành mạnh cho các nhóm nhạy cảm,400
Trời quang,-2°C,25%,11.8 km/h,1024 mbar,17,96,65,18,6,Trung bình,500
Trời quang,18°C,23%,12.3 km/h,1014 mbar,12.6,26.2,,14.7,0,Trung bình,790
Trời quang,0°C,21%,9.4 km/h,1023 mbar,107,495.5,35.5,36,7.5,Nguy hiểm,550
Trời quang,2°C,29%,11.1 km/h,1026 mbar,53,212,42,40,6.5,Không lành mạnh cho các nhóm nhạy cảm,450
Trời quang,2°C,29%,6.4 km/h,1025 mbar,79,205,8,73,,Không lành mạnh,1350
Trời quang,3°C,36%,8.2 km/h,1026 mbar,59,202,15,68,8,Không lành mạnh,900
Trời quang,0°C,30%,7.1 km/h,1025 mbar,58,162,23.5,57.5,22,Không lành mạnh,950
Mây rải rác,23°C,44%,13.3 km/h,1012 mbar,68.6,,,,,Không lành mạnh,
Nhiều mây,9°C,56%,2.5 km/h,1024 mbar,53,91.5,6.5,58.5,6.5,Không lành mạnh cho các nhóm nhạy cảm,700
Sương mù,24°C,100%,7.4 km/h,1012 mbar,42.2*,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Ít mây,9°C,45%,4.5 km/h,1019 mbar,22.1*,,,,,Trung bình,
Trời quang,2°C,17%,3 km/h,1023 mbar,38,123,22,50,16,Không lành mạnh cho các nhóm nhạy cảm,600
Trời quang,0°C,24%,3.4 km/h,1023 mbar,94,495,14,62.5,18,Nguy hiểm,700
Trời quang,0°C,28%,4.1 km/h,1024 mbar,58,230,10,68,14,Không lành mạnh,700
Trời quang,32°C,22%,1.6 km/h,1013 mbar,15.1*,,,,,Trung bình,
Trời quang,1°C,18%,2.4 km/h,1023 mbar,47,191.5,29,45,14,Không lành mạnh cho các nhóm nhạy cảm,600
Nhiều mây,-2°C,45%,4.1 km/h,1032 mbar,111,348,42.5,32,5.5,Không lành mạnh,750
Trời quang,19°C,31%,9.7 km/h,1014 mbar,51.7,129.6,,57.1,16,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,15°C,38%,11 km/h,1014 mbar,36.3,108,26.5,46.2,10.8,Không lành mạnh cho các nhóm nhạy cảm,900
Sương mù,-5°C,80%,7.2 km/h,1025 mbar,158,173.7,,,,Rất không lành mạnh,
Trời quang,3°C,26%,13.8 km/h,1026 mbar,36.5,188,60,25,7,Không lành mạnh cho các nhóm nhạy cảm,500
Nhiều mây,10°C,76%,3.9 km/h,1024 mbar,68,94,19.5,38,7.5,Không lành mạnh,700
Trời quang,4°C,60%,4.5 km/h,1027 mbar,21,91,50,20,6,Trung bình,0.4
Trời quang,2°C,20%,7.8 km/h,1024 mbar,29,149.5,38,37,12,Trung bình,500
Trời quang,0°C,25%,9 km/h,1023 mbar,82,434,8,66,12,Nguy hiểm,650
Trời quang,0°C,26%,5.3 km/h,1022 mbar,235,1258,25,37,7,Nguy hiểm,600
Trời quang,7°C,46%,7.1 km/h,1027 mbar,59.5,126.5,61,58,6,Không lành mạnh,700
Trời quang,0°C,27%,7.1 km/h,1022 mbar,248,1116,38,27,5,Nguy hiểm,500
Trời quang,22°C,43%,6.9 km/h,1012 mbar,70.1,,16,,33.6,Không lành mạnh,
Trời quang,2°C,35%,3.9 km/h,1026 mbar,59,260,11,69,7,Không lành mạnh,500
Ít mây,22°C,45%,15.1 km/h,1012 mbar,33.4,,,,,Trung bình,
Trời quang,18°C,31%,6.8 km/h,1014 mbar,34,84,10,35.2,17.6,Trung bình,
Mây rải rác,2°C,65%,3.7 km/h,1011 mbar,29.2,,,,,Trung bình,
Trời quang,2°C,27%,6.1 km/h,1025 mbar,61,203,10.5,68,15.5,Không lành mạnh,1300
Sương mù,-2°C,80%,7.4 km/h,1026 mbar,133,152.4,5.7,,9.5,Không lành mạnh,2077.2
Trời quang,0°C,29%,3 km/h,1029 mbar,68,298,8,64,13,Không lành mạnh,1000
Trời quang,0°C,22%,4.5 km/h,1023 mbar,102,518,20,57.5,12,Nguy hiểm,600
Trời quang,0°C,21%,15.7 km/h,1022 mbar,124,634,8,60,10,Nguy hiểm,600
Trời quang,0°C,30%,8.4 km/h,1023 mbar,112,632,30,45.5,18.5,Nguy hiểm,850
Trời quang,21°C,56%,9.7 km/h,1013 mbar,91.3,,33,,17.6,Không lành mạnh,
Sương mù,24°C,73%,3.7 km/h,1014 mbar,68.9,,19,,20,Không lành mạnh,
Trời quang,1°C,26%,8.7 km/h,1024 mbar,49.5,161,14,44.5,21.5,Không lành mạnh cho các nhóm nhạy cảm,1100
Trời quang,0°C,25%,5.1 km/h,1024 mbar,102,503,16.5,65.5,32.5,Nguy hiểm,1000
Trời quang,19°C,63%,7.2 km/h,1012 mbar,60.9,,,,,Không lành mạnh,
Trời quang,6°C,54%,6.6 km/h,1027 mbar,56.5,134,55,42,6,Không lành mạnh,750
Trời quang,2°C,65%,7.2 km/h,1011 mbar,53.7,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,3°C,28%,7.9 km/h,1026 mbar,82.5,180.5,15.5,65,10.5,Không lành mạnh,850
Trời quang,4°C,37%,9.8 km/h,1027 mbar,59,187,23,42,11,Không lành mạnh,400
Nhiều mây,24°C,67%,6.1 km/h,1011 mbar,34.2,59,76.2,26.1,,Trung bình,
Mây rải rác,26°C,41%,14.7 km/h,1011 mbar,7.3,22.1,,,4.6,Tốt,
Trời quang,0°C,26%,12.1 km/h,1023 mbar,140.5,676.5,13,62,12,Nguy hiểm,600
Trời quang,-7°C,62%,2.3 km/h,1036 mbar,59,220,32,41.5,12.5,Không lành mạnh,800
Trời quang,3°C,29%,8 km/h,1026 mbar,74.5,199,23,82,6.5,Không lành mạnh,850
Trời quang,2°C,23%,7.8 km/h,1024 mbar,63,337,7,66,10.5,Không lành mạnh,700
Trời quang,1°C,20%,3.8 km/h,1024 mbar,75,328,15,62,21,Không lành mạnh,700
Nhiều mây,-14°C,92%,3.1 km/h,1045 mbar,70,111,12.5,50,3,Không lành mạnh,1300
Nhiều mây,-3°C,35%,6.2 km/h,1020 mbar,16,64,69.5,12.5,9,Trung bình,500
Trời quang,7°C,39%,7.4 km/h,1020 mbar,16.1*,,,,,Trung bình,
Trời quang,1°C,23%,8.5 km/h,1023 mbar,97,374,24,51,12,Rất không lành mạnh,500
Nhiều mây,12°C,91%,9.5 km/h,1007 mbar,2.1*,,,,,Tốt,
Tuyết,0°C,86%,5.8 km/h,1012 mbar,30.5,,,,,Trung bình,
Trời quang,3°C,21%,9.3 km/h,1024 mbar,45,246,51,26,8,Không lành mạnh cho các nhóm nhạy cảm,400
Trời quang,3°C,21%,2.4 km/h,1028 mbar,74,276,5,83,10,Không lành mạnh,827
Trời quang,2°C,23%,8.7 km/h,1024 mbar,56,207,23,57,12,Không lành mạnh,600
Trời quang,14°C,63%,5.9 km/h,1016 mbar,77,,,,,Không lành mạnh,
Trời quang,5°C,26%,10.5 km/h,1028 mbar,99.5,356,17,65.5,14,Rất không lành mạnh,888
Trời quang,15°C,67%,6.3 km/h,1021 mbar,59.6,110.9,,28.1,3,Không lành mạnh,
Nhiều mây,24°C,64%,10.6 km/h,1011 mbar,15.1*,,,,,Trung bình,
Trời quang,7°C,27%,5.4 km/h,1027 mbar,84.5,94.5,5.5,38,3,Không lành mạnh,8500
Nhiều mây,-1°C,61%,7.1 km/h,1014 mbar,3.1*,,,,,Tốt,
Nhiều mây,-3°C,84%,7 km/h,1014 mbar,9,13,,,,Tốt,
Nhiều mây,-1°C,80%,13.1 km/h,1012 mbar,5.8,6.7,,4.2,,Tốt,
Nhiều mây,0°C,78%,3.7 km/h,1012 mbar,17,25,,,,Trung bình,
Nhiều mây,10°C,56%,17.6 km/h,1020 mbar,5,10,,32,,Tốt,
Nhiều mây,7°C,46%,5 km/h,1022 mbar,12,7.5,,70.5,,Tốt,687
Nhiều mây,7°C,82%,15 km/h,1019 mbar,,0,,,0,Tốt,
Mưa,8°C,71%,3.2 km/h,1018 mbar,6,8,,42.3,0,Tốt,
Mưa,8°C,71%,3.2 km/h,1018 mbar,4,,,38.5,,Tốt,
Mưa,8°C,71%,3.2 km/h,1018 mbar,2.5,8,,43.2,0,Tốt,
Mưa,8°C,71%,4.4 km/h,1019 mbar,5.5,8,,19.7,23.6,Tốt,
Mưa,8°C,71%,5 km/h,1019 mbar,6,5,,52.6,,Tốt,400.8
Nhiều mây,10°C,80%,5.8 km/h,1020 mbar,9,,,,,Tốt,
Nhiều mây,7°C,64%,5 km/h,1020 mbar,10,16,,20.7,5.2,Tốt,
Nhiều mây,4°C,85%,1.6 km/h,1017 mbar,8,,,,,Tốt,
Nhiều mây,6°C,66%,2.8 km/h,1022 mbar,11,10,,56.4,,Tốt,
Nhiều mây,6°C,79%,9.4 km/h,1020 mbar,11,15,,30.1,,Tốt,
Trời quang,2°C,68%,7.4 km/h,1011 mbar,9.1,19.8,44,25.9,,Tốt,
Nhiều mây,-2°C,92%,15.1 km/h,997 mbar,5.3,6.9,,,,Tốt,
Mưa,13°C,94%,35.2 km/h,1005 mbar,5.5,20,50,16,4,Tốt,
Nhiều mây,-6°C,88%,11.1 km/h,1007 mbar,0,,,,,Tốt,
Mưa,4°C,88%,2.7 km/h,1010 mbar,1.3,,,,,Tốt,
Nhiều mây,7°C,94%,5.5 km/h,1011 mbar,0.1,,,,,Tốt,
Nhiều mây,7°C,92%,20.4 km/h,1012 mbar,0.4,,,,,Tốt,
Nhiều mây,6°C,95%,9.3 km/h,1013 mbar,1.5,,,,,Tốt,
Trời quang,3°C,92%,8.9 km/h,1025 mbar,13.5,,,,,Trung bình,
Nhiều mây,1°C,78%,18.5 km/h,1025 mbar,11,,,,,Tốt,
Mưa,3°C,89%,1.6 km/h,1013 mbar,1.8,,,,,Tốt,
Nhiều mây,7°C,92%,18.5 km/h,1012 mbar,3.3,,,,,Tốt,
Mưa,5°C,91%,1.6 km/h,1010 mbar,0.2,,,,,Tốt,
Mây rải rác,4°C,34%,9.3 km/h,1000 mbar,0,,,,,Tốt,
Nhiều mây,0°C,82%,8.1 km/h,1021 mbar,1.4,,,,,Tốt,
Nhiều mây,12°C,91%,7.4 km/h,1020 mbar,13.8,,,,,Trung bình,
Trời quang,0°C,97%,8.2 km/h,1025 mbar,16,,,,,Trung bình,
Sương mù,2°C,94%,20.4 km/h,1018 mbar,9.7,13,36,,,Tốt,
Nhiều mây,-4°C,85%,5.5 km/h,1020 mbar,1.6,,,,,Tốt,
Nhiều mây,-3°C,75%,33.6 km/h,1016 mbar,22,,,,,Trung bình,
Nhiều mây,-5°C,85%,9.3 km/h,1022 mbar,4.1,,,,,Tốt,
Nhiều mây,0°C,91%,8.1 km/h,1019 mbar,2.1*,,,,,Tốt,
Trời quang,2°C,96%,4.9 km/h,1023 mbar,1,,,,,Tốt,
Nhiều mây,4°C,82%,5.5 km/h,1025 mbar,11.1*,,,,,Tốt,
Nhiều mây,2°C,93%,9.3 km/h,1025 mbar,14.1*,,,,0.8*,Trung bình,
Ít mây,1°C,84%,10 km/h,1025 mbar,12.1*,,,,,Trung bình,
Ít mây,1°C,76%,4.8 km/h,1025 mbar,11.1*,,,,,Tốt,
Nhiều mây,9°C,83%,11.1 km/h,1021 mbar,13.1*,,,,,Trung bình,
Sương mù,12°C,93%,16.7 km/h,1015 mbar,18.6,,,,,Trung bình,
Ít mây,-1°C,60%,12.9 km/h,1007 mbar,8,,,,,Tốt,
Ít mây,-18°C,98%,6.3 km/h,1030 mbar,4.9,,,,,Tốt,
Trời quang,-12°C,75%,7.8 km/h,1034 mbar,0.9,,,,,Tốt,
Trời quang,-9°C,79%,5.5 km/h,1029 mbar,2.2,,,,,Tốt,
Ít mây,-4°C,85%,4.8 km/h,1027 mbar,5,,,,,Tốt,
Nhiều mây,-7°C,96%,1.5 km/h,1016 mbar,2,,,3.8,0,Tốt,0
Trời quang,0°C,18%,3 km/h,1009 mbar,37,52,34,,21,Không lành mạnh cho các nhóm nhạy cảm,
Nhiều mây,-2°C,82%,7.4 km/h,1014 mbar,4.4,,,,,Tốt,
Mây rải rác,14°C,41%,18.5 km/h,1008 mbar,7,14.9,40.7,18.4,4.3,Tốt,
Trời quang,1°C,70%,9.3 km/h,998 mbar,10.1*,,,,,Tốt,
Ít mây,1°C,71%,3.2 km/h,1013 mbar,26,,,,,Trung bình,
Ít mây,-1°C,68%,7.4 km/h,1011 mbar,11,15,,,,Tốt,
Nhiều mây,-2°C,64%,3.9 km/h,1014 mbar,4.1*,,,,,Tốt,
Nhiều mây,0°C,81%,3.2 km/h,1013 mbar,25.2,,,,,Trung bình,
Mây rải rác,-1°C,87%,6.4 km/h,1019 mbar,6.6,7.8,,,2.7,Tốt,
Nhiều mây,-1°C,72%,10.3 km/h,1018 mbar,9.1*,,,,,Tốt,
Mây rải rác,0°C,85%,6.3 km/h,1013 mbar,5.1,5.9,,24,,Tốt,
Nhiều mây,1°C,63%,4.8 km/h,1004 mbar,15.7,16.3,,14.3,,Trung bình,
Nhiều mây,0°C,58%,24.1 km/h,1020 mbar,6.1*,,,,,Tốt,
Nhiều mây,11°C,87%,9.3 km/h,1018 mbar,7,5,,11.3,,Tốt,
Mưa,7°C,87%,6.6 km/h,1019 mbar,5,8,,47,0,Tốt,
Mưa,7°C,71%,4.2 km/h,1019 mbar,11,11,,9.4,2.6,Tốt,
Mây rải rác,5°C,59%,4.6 km/h,1022 mbar,8,8,,24.4,,Tốt,
Nhiều mây,7°C,78%,10.5 km/h,1019 mbar,4,,,,,Tốt,
Nhiều mây,9°C,58%,2 km/h,1022 mbar,12,14,,95.9,0,Tốt,
Nhiều mây,7°C,79%,7.2 km/h,1019 mbar,17,17,,35.7,2.6,Trung bình,
